Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACP3	"ACP-3, ACPP, PAP, TM-PAP"	ENSG00000014257	"Acid phosphatase 3"	P15309	3	132317369-132368302	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Lipid metabolism"	Hydrolase	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	76	"prostate: 3512.4"	"Cell type enriched"	"Detected in many"	443	"Prostatic glandular cells: 16688.0"	"Cancer enriched"	"Detected in many"	275	"prostate cancer: 1227.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 139.9"	"Lineage enhanced"	"Detected in many"		"granulocytes: 139.9"	"Cancer enriched"	"Detected in many"	36	"prostate cancer: 250.9"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB000071, HPA004335, HPA063916"	Enhanced				"Secreted to blood"	Enzyme	NA	NA	460000	480000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 64: Neuronal - Transcription"	"Cluster 55: Non-specific - Transcription"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"	1			"CAB000071: , HPA004335: AB_1079684, HPA063916: AB_2685152"	"unprognostic (6.67e-2)"	"unprognostic (4.70e-2)"	"unprognostic (1.76e-1)"	"unprognostic (7.77e-2)"	"unprognostic (1.74e-1)"	"unprognostic (2.58e-2)"	"unprognostic (2.46e-1)"	"unprognostic (7.41e-2)"	"unprognostic (1.81e-1)"	"unprognostic (3.78e-3)"	"unprognostic (2.14e-1)"	"unprognostic (5.95e-2)"	"unprognostic (9.38e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.18e-1)"	"unprognostic (3.91e-2)"	"unprognostic (1.71e-1)"
ACP7	"FLJ16165, PAPL, PAPL1"	ENSG00000183760	"Acid phosphatase 7, tartrate resistant (putative)"	Q6ZNF0	19	39083913-39111493	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 10.2;skin 1: 5.8"	"Cell type enriched"	"Detected in some"	5	"Oligodendrocytes: 10.0"	"Group enriched"	"Detected in some"	5	"cervical cancer: 0.8;head and neck cancer: 2.6;lung cancer: 1.4;melanoma: 1.0;urothelial cancer: 1.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			HPA042613	Uncertain				"Secreted - unknown location"	Enzyme	NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 51: Oligodendrocytes - Unknown function"				"HPA042613: AB_10963214"	"unprognostic (6.35e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.48e-1)"	"unprognostic (6.74e-3)"	"unprognostic (1.92e-3)"	"unprognostic (1.41e-1)"	"unprognostic (3.41e-1)"	"unprognostic (4.94e-3)"	"unprognostic (2.66e-1)"	"unprognostic (2.15e-1)"	"unprognostic (1.50e-1)"	"unprognostic (9.81e-2)"	"unprognostic (1.51e-5)"	"unprognostic (4.36e-3)"	"unprognostic (5.08e-2)"	"unprognostic (2.31e-2)"	"unprognostic (2.42e-1)"
ACR		ENSG00000100312	Acrosin	P10323	22	50738196-50745339	"Enzymes, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	29	"testis: 84.3"	"Group enriched"	"Detected in some"	33	"Early spermatids: 278.9;Late spermatids: 93.1;Spermatocytes: 76.0"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	7	"choroid plexus: 5.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA048687	Enhanced				"Secreted in male reproductive system"	Enzyme	NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"HPA048687: AB_2680494"	"unprognostic (1.71e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.04e-1)"	"unprognostic (6.27e-3)"	"unprognostic (3.58e-2)"	"unprognostic (8.04e-2)"	"unprognostic (3.30e-3)"	"unprognostic (5.41e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.34e-2)"	"unprognostic (2.12e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.71e-1)"	"unprognostic (2.27e-1)"	"unprognostic (1.25e-1)"
ACRBP	"CT23, OY-TES-1, SP32"	ENSG00000111644	"Acrosin binding protein"	Q8NEB7	12	6638075-6647433	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	20	"testis: 275.6"	"Group enriched"	"Detected in many"	68	"Early spermatids: 1140.3;Late spermatids: 787.6;Spermatocytes: 310.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	4	"classical monocyte: 12.5;intermediate monocyte: 15.8;myeloid DC: 17.7;non-classical monocyte: 31.2"	"Group enriched"	"Detected in many"	9	"dendritic cells: 17.7;monocytes: 31.2"	"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039081, HPA039082"	Enhanced		Approved	Nucleoplasm,Vesicles,Cytosol	"Secreted in male reproductive system"	"No annotated function"	NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 42: Testis - Spermatogenesis"	"Cluster 6: Non-specific - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 57: Platelets - Hemostasis"		"Nucleoplasm, Vesicles"	Cytosol	"HPA039081: AB_10670920, HPA039082: AB_10671036"	"unprognostic (7.76e-3)"	"unprognostic (2.27e-1)"	"unprognostic (3.41e-3)"	"unprognostic (2.31e-2)"	"unprognostic (3.65e-2)"	"unprognostic (2.13e-2)"	"unprognostic (2.42e-1)"	"unprognostic (3.40e-3)"	"unprognostic (2.85e-1)"	"unprognostic (5.47e-3)"	"unprognostic (1.17e-2)"	"unprognostic (1.43e-1)"	"unprognostic (9.41e-3)"	"unprognostic (1.25e-1)"	"unprognostic (2.56e-1)"	"unprognostic (1.44e-1)"	"unprognostic (2.80e-4)"
ACRV1	"D11S4365, SP-10, SPACA2"	ENSG00000134940	"Acrosomal vesicle protein 1"	P26436	11	125671522-125680874	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	33	"testis: 113.4"	"Group enriched"	"Detected in some"	69	"Early spermatids: 1033.1;Late spermatids: 374.0"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA038718, HPA038719"	Enhanced				"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"	3			"HPA038718: AB_2676171, HPA038719: AB_10670787"	"unprognostic (3.58e-2)"	"unprognostic (8.68e-3)"	"unprognostic (1.46e-1)"	"unprognostic (6.18e-2)"	"unprognostic (4.58e-2)"	"unprognostic (7.91e-3)"	"unprognostic (6.73e-4)"	"unprognostic (1.76e-1)"	"unprognostic (2.12e-3)"	"unprognostic (8.39e-2)"	"unprognostic (7.09e-2)"	"unprognostic (2.90e-3)"	"unprognostic (1.80e-8)"	"unprognostic (5.26e-3)"	"unprognostic (2.52e-1)"	"unprognostic (1.95e-1)"	"unprognostic (3.75e-1)"
ADA2	"ADGF, CECR1, IDGFL"	ENSG00000093072	"Adenosine deaminase 2"	Q9NZK5	22	17178790-17258235	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"		"Heparin-binding, Hydrolase"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lymphoid tissue: 110.0"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 117.0;Hofbauer cells: 91.6;Kupffer cells: 215.4;Langerhans cells: 133.1;Macrophages: 139.4;monocytes: 190.8;Plasma cells: 74.8;Schwann cells: 75.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"Leukemia: 15.1;lymphoma: 7.8;Myeloma: 23.5;Rhabdoid: 7.1;testis cancer: 17.4"	"Lung - Macrophages, Testis - Late spermatids"					"Low region specificity"	"Detected in all"			HPA007888	Uncertain				"Secreted to blood"	Enzyme	NA	NA		58000000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 29: Monocytes - Innate immune response"				"HPA007888: AB_1078495"	"unprognostic (1.03e-3)"	"unprognostic (2.00e-3)"	"unprognostic (6.59e-2)"	"unprognostic (2.50e-1)"	"unprognostic (1.48e-2)"	"unprognostic (7.01e-3)"	"unprognostic (4.48e-2)"	"unprognostic (3.09e-3)"	"unprognostic (3.80e-2)"	"prognostic favorable (9.26e-4)"	"prognostic favorable (8.91e-4)"	"unprognostic (1.41e-1)"	"unprognostic (1.49e-1)"	"unprognostic (4.86e-3)"	"unprognostic (1.96e-2)"	"unprognostic (4.83e-2)"	"unprognostic (2.51e-1)"
ADAM12	"MCMPMltna, MLTN"	ENSG00000148848	"ADAM metallopeptidase domain 12"	O43184	10	126012381-126388477	"Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Cell adhesion"	"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	10	"placenta: 130.4"	"Cell type enriched"	"Detected in many"	4	"Extravillous trophoblasts: 479.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"MAIT T-cell: 4.5"	"Lineage enriched"	"Detected in single"	45	"T-cells: 4.5"	"Cancer enhanced"	"Detected in many"		"Brain cancer: 41.1;Kidney cancer: 31.8"	"Heart muscle - Fibroblasts, Skeletal muscle - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA030866, HPA030867, HPA030868"	Enhanced		Supported	"Plasma membrane"	"Secreted in female reproductive system"	"Cell adhesion"	NA	NA		14000000	"Cluster 1: T-cells - Unknown function"	"Cluster 58: Placenta - Pregnancy"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 4: Extravillous trophoblasts - Unknown function"	5	"Plasma membrane"		"HPA030866: AB_2673636, HPA030867: AB_10602428, HPA030868: AB_2673638"	"unprognostic (3.35e-1)"	"unprognostic (1.05e-3)"	"unprognostic (3.52e-2)"	"unprognostic (2.47e-2)"	"unprognostic (3.34e-2)"	"unprognostic (2.16e-1)"	"unprognostic (2.91e-6)"	"unprognostic (2.17e-2)"	"unprognostic (4.85e-2)"	"unprognostic (1.30e-2)"	"unprognostic (2.53e-2)"	"unprognostic (1.09e-1)"	"prognostic unfavorable (2.39e-14)"	"unprognostic (3.11e-3)"	"unprognostic (9.06e-3)"	"unprognostic (4.70e-3)"	"unprognostic (3.47e-3)"
ADAM23	MDC3	ENSG00000114948	"ADAM metallopeptidase domain 23"	O75077	2	206443532-206621127	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 32.6;parathyroid gland: 80.0"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 81.1;Excitatory neurons: 396.2;Inhibitory neurons: 227.1;Late spermatids: 59.9;Oligodendrocyte precursor cells: 119.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	16	"memory CD4 T-cell: 2.1"	"Lineage enriched"	"Detected in single"	16	"T-cells: 2.1"	"Cancer enhanced"	"Detected in many"		"Myeloma: 47.8"	"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Lung - Fibroblast_2, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB033276	Approved				"Secreted in brain"	"Cell adhesion"	NA	NA		890000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 34: Neurons - Neuronal signaling"				"CAB033276: AB_2305247"	"unprognostic (7.33e-2)"	"unprognostic (7.80e-2)"	"unprognostic (4.60e-1)"	"unprognostic (5.77e-2)"	"unprognostic (1.58e-1)"	"unprognostic (3.59e-2)"	"unprognostic (4.27e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.09e-1)"	"unprognostic (6.84e-2)"	"unprognostic (1.09e-2)"	"unprognostic (2.64e-2)"	"unprognostic (9.75e-6)"	"unprognostic (3.32e-3)"	"unprognostic (1.25e-2)"	"unprognostic (2.16e-3)"	"unprognostic (1.03e-3)"
ADAM28	"ADAM23, eMDCII, MDC-Lm, MDC-Ls"	ENSG00000042980	"ADAM metallopeptidase domain 28"	Q9UKQ2	8	24294069-24359014	"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"epididymis: 347.9;stomach 1: 107.1"	"Cell type enhanced"	"Detected in many"		"B-cells: 223.9;Gastric mucus-secreting cells: 131.5;Ionocytes: 76.2;Microglial cells: 222.8"	"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 9.9"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"memory B-cell: 72.0;naive B-cell: 87.4"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 9.9"	"Thyroid - T-cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA074034	Enhanced		Approved	"Plasma membrane,Mitochondria"	"Secreted to blood"	Enzyme	NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 73: B-cells - B-cell function"	1	"Plasma membrane"	Mitochondria	"HPA074034: AB_2686654"	"unprognostic (4.23e-2)"	"unprognostic (1.01e-2)"	"unprognostic (2.06e-2)"	"prognostic favorable (3.17e-4)"	"unprognostic (2.89e-1)"	"unprognostic (2.55e-2)"	"unprognostic (5.59e-2)"	"unprognostic (1.53e-1)"	"unprognostic (4.71e-1)"	"unprognostic (1.35e-2)"	"unprognostic (3.77e-3)"	"unprognostic (7.77e-2)"	"unprognostic (3.97e-3)"	"unprognostic (1.71e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.62e-1)"
ADAM9	"CORD9, KIAA0021, MCMP, MDC9, Mltng"	ENSG00000168615	"ADAM metallopeptidase domain 9"	Q13443	8	38996754-39105445	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes, Cone-rod dystrophy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Mucus glandular cells: 172.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"classical monocyte: 4.0"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004000			Approved	"Endoplasmic reticulum,Vesicles"	"Secreted - unknown location"	Enzyme	NA	NA		740000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 45: Non-specific - Mixed function"	4	Vesicles	"Endoplasmic reticulum"	"HPA004000: AB_1844584"	"prognostic unfavorable (1.14e-4)"	"prognostic unfavorable (2.25e-4)"	"unprognostic (1.32e-3)"	"unprognostic (1.27e-1)"	"unprognostic (2.86e-1)"	"unprognostic (1.40e-1)"	"prognostic unfavorable (7.21e-6)"	"unprognostic (5.77e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.48e-2)"	"prognostic unfavorable (2.52e-5)"	"unprognostic (5.83e-2)"	"prognostic unfavorable (3.99e-4)"	"unprognostic (2.80e-1)"	"unprognostic (5.76e-2)"	"unprognostic (2.27e-1)"	"unprognostic (1.23e-2)"
ADAMDEC1	M12.219	ENSG00000134028	"ADAM like decysin 1"	O15204	8	24384285-24406013	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"intestine: 413.0"	"Group enriched"	"Detected in some"	4	"Hofbauer cells: 13.0;Kupffer cells: 11.2;Macrophages: 28.4"	"Cancer enhanced"	"Detected in all"		"testis cancer: 16.7"	"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in some"		"eosinophil: 1.9"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in single"		"lymphoma: 1.1"	"Adipose visceral - Macrophages"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"								"Secreted in other tissues"	Enzyme	NA	NA		28000000		"Cluster 45: Intestine - Digestion"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 58: Macrophages - Innate immune response"					"unprognostic (1.17e-2)"	"unprognostic (1.80e-2)"	"unprognostic (4.15e-3)"	"unprognostic (3.60e-1)"	"unprognostic (6.21e-2)"	"unprognostic (3.84e-3)"	"unprognostic (2.12e-1)"	"unprognostic (2.90e-1)"	"unprognostic (1.61e-1)"	"unprognostic (5.99e-3)"	"unprognostic (2.79e-1)"	"unprognostic (8.80e-2)"	"unprognostic (1.74e-2)"	"unprognostic (2.06e-1)"	"unprognostic (1.35e-2)"	"unprognostic (3.66e-2)"	"unprognostic (8.23e-2)"
ADAMTS1	"C3-C5, KIAA1346, METH1"	ENSG00000154734	"ADAM metallopeptidase with thrombospondin type 1 motif 1"	Q9UHI8	21	26835755-26845409	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"ovary: 300.2"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 338.6;Endothelial cells: 410.5;Extravillous trophoblasts: 257.2;Fibroblasts: 251.9;Smooth muscle cells: 574.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	8	"gdT-cell: 4.5;NK-cell: 6.6"	"Group enriched"	"Detected in many"	56	"NK-cells: 6.6;T-cells: 4.5"	"Low cancer specificity"	"Detected in many"			"Breast - Endothelial cells, Testis - Endothelial cells"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	4	"spinal cord: 41.6"	"CAB016394, HPA031498"	Approved		Approved	"Plasma membrane"	"Secreted to extracellular matrix"	Enzyme	NA	NA		4100000	"Cluster 15: NK-cells - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 11: White matter - Signal transduction"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 48: Smooth muscle cells - Signal transduction"	3	"Plasma membrane"		"CAB016394: AB_626637, HPA031498: AB_2673907"	"unprognostic (6.82e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.18e-2)"	"prognostic unfavorable (5.13e-4)"	"unprognostic (1.03e-1)"	"unprognostic (3.28e-1)"	"unprognostic (2.37e-2)"	"unprognostic (5.39e-2)"	"unprognostic (1.75e-1)"	"unprognostic (4.55e-2)"	"unprognostic (9.70e-3)"	"unprognostic (8.27e-3)"	"unprognostic (1.12e-1)"	"unprognostic (6.76e-2)"	"unprognostic (1.57e-1)"
ADAMTS10	ADAM-TS10	ENSG00000142303	"ADAM metallopeptidase with thrombospondin type 1 motif 10"	Q9H324	19	8580240-8610735	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 17.3;Excitatory neurons: 20.7;Inhibitory neurons: 19.1;Microglial cells: 29.5;Smooth muscle cells: 14.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 7.5"		"Region enriched"	"Detected in many"	5	"cerebellum: 8.8"	"Low region specificity"	"Detected in all"			HPA040223	Uncertain				"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 34: Non-specific - Mixed function"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 48: Smooth muscle cells - Signal transduction"				"HPA040223: AB_10795376"	"unprognostic (2.60e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.73e-2)"	"unprognostic (1.14e-1)"	"unprognostic (8.16e-2)"	"unprognostic (1.91e-4)"	"unprognostic (4.98e-3)"	"unprognostic (4.06e-2)"	"unprognostic (2.24e-2)"	"unprognostic (6.52e-2)"	"unprognostic (2.47e-1)"	"unprognostic (2.54e-1)"	"prognostic unfavorable (4.55e-9)"	"unprognostic (6.86e-3)"	"unprognostic (1.71e-1)"	"unprognostic (2.33e-1)"	"unprognostic (4.12e-2)"
